"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"bf-109g-2/eila/desc";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Eila Ilmatar ""Illu"" Juutilainen's Bf 109 G-2 Collaboration camouflage";;
"bf-109g-2/minna/desc";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";"<Strike Witches> Minna Dietlinde ""Fürstin"" Wilcke's Bf 109 G-2 Collaboration camouflage";;
"bf-109g-6/erica/desc";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";"<Strike Witches> Erica ""Frau"" Hartmann Bf 109 G-6 Collaboration camouflage";;
"fw-190d-9/gertrud/desc";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";"<Strike Witches> Gertrud ""Trude"" Barkhorn's Fw 190 D-9 Collaboration camouflage";;
"g_55_serie1/franchesca/desc";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";"<Strike Witches> Francesca ""Franca"" Lucchini's G.55 .I Collaboration camouflage";;
"mig_3_series_34/sanya/desc";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";"<Strike Witches> Aleksandra ""Sanya"" Vladimirovna Litvyak's MiG-3 .34 Collaboration camouflage";;
"p-51d-5/charlotte/desc";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";"<Strike Witches> Charlotte Elwyn ""Shirley"" Yeager's P-51D-5 Collaboration camouflage";;
"spitfire_ix_early/bishop/desc";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";"<Strike Witches> Lynette ""Lynne"" Bishop's Spitfire IX Collaboration camouflage";;
"vg_33/perrine/desc";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";"<Strike Witches> Pierrette-Henriette ""Perrine"" Clostermann V.G.33 Collaboration camouflage";;
"a5m4_hagiri/neuroi";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";;
"a5m4_hagiri/neuroi/desc";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";;
"a6m3_mod22ko_zero/neuroi";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";;
"a6m3_mod22ko_zero/neuroi/desc";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";;
"bf-109g-2/trop_neuroi";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";;
"bf-109g-2/trop_neuroi/desc";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";;
"bf-109g-6/neuroi";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";;
"bf-109g-6/neuroi/desc";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";"<Strike Witches> Collaboration NEUROI camouflage";;
"fw-190d-9/neuroi";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";"<color=#CCA43B>NEUROI camouflage</color>";;
