"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"weapons/cannonDEFA541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";"30mm Canon Aérien de DEFA 541";;
"weapons/cannonDEFA551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";"30mm Canon Aérien de DEFA 551";;
"weapons/cannonDEFA552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";"30mm Canon Aérien de DEFA 552";;
"weapons/cannonDEFA552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";"30mm Canon Aérien de DEFA 552A";;
"weapons/cannonDEFA553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";"30mm Canon Aérien de DEFA 553";;
"weapons/cannonDEFA554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";;
"weapons/cannonDEFA554/short";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";;
"weapons/cannonDEFA554_gunpod";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";"30mm Canon Aérien de DEFA 554";;
"weapons/cannonDEFA554_gunpod/short";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";"DEFA 554";;
"weapons/fr_as20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";"Missile de Air-Sol 20";;
"weapons/fr_as20/short";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";"AS-20";;
"weapons/fr_as30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";"Missile de Air-Sol 30";;
"weapons/fr_as30/short";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";"AS-30";;
"weapons/fr_as30l";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";"Missile de Air-Sol 30L";;
"weapons/fr_as30l/short";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";"AS-30L";;
"weapons/us_blu27b";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";"Bomb, fire, 750lb, BLU-27/B";;
"weapons/us_blu27b/short";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";"BLU-27/B";;
"weapons/us_250_lb_blu_10b";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";"Bomb, fire, 250lb, BLU-10/B";;
"weapons/us_250_lb_blu_10b/short";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";"BLU-10/B";;
"weapons/us_500_lb_blu_23b";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";"Bomb, fire, 500lb, BLU-23/B";;
"weapons/us_500_lb_blu_23b/short";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";"BLU-23/B";;
"weapons/12_7mm_m2_browning_naval_user_machinegun/short";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";"M2 HB";;
"weapons/fr_aa20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";"Missile de Air-Air 20";;
"weapons/fr_aa20/short";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";"AA-20";;
"weapons/gr_as34_kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";"Antischiffrakete Kormoran";;
"weapons/gr_as34_kormoran/short";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";"Kormoran";;
"weapons/cannon_mauser_bk_27/short";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";"BK 27";;
"weapons/cannonNR30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";;
"weapons/cannonNR30_early";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";"30mm Aircraft Cannon, NR-30";;
"weapons/cannonNR30_early/short";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";"NR-30";;
"weapons/cannonN37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";"37mm Aircraft Cannon, N-37";;
"weapons/cannonN37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";"37mm Aircraft Cannon, N-37D";;
"weapons/cannonNR23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";;
"weapons/cannonNR23_turret";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";"23mm Aircraft Cannon, NR-23";;
"weapons/cannonNS23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";"23mm Aircraft Cannon, NS-23";;
"weapons/cannonNS23k";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";"23mm Aircraft Cannon, NS-23K";;
"weapons/cannonNS37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";;
"weapons/cannonNS37_su_6";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";;
"weapons/cannonNS37_assault";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";"37mm Aircraft Cannon, NS-37";;
"weapons/cannonNS45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";;
"weapons/cannonNS45_heavy_aircrafts";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";"45mm Aircraft Cannon, NS-45";;
"weapons/cannonNS45_heavy_aircrafts/short";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";"45mm NS-45";;
"weapons/su_ofab250";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";"250kg OFAB-250Sv HEF Bomb";;
"weapons/su_ofab250/short";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";"OFAB-250Sv";;
