"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"sig_xm250_2";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";;
"sig_xm5_shop";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";;
"sig_xm5_0";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";"Rifle, Caliber 6.8x51mm, XM7";;
"sig_xm5_1";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";"XM7";;
"sig_xm5_2";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";;
//RU//
"ak_12_shop";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";;
"ak_12_0";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";"5.45x39mm Avtomat Kalashnikova 2012, AK-12 (6P70)";;
"ak_12_1";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";"AK-12";;
"ak_12_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"ak_15_shop";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";;
"ak_15_0";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";"7.62x39mm Avtomat Kalashnikova 2015, AK-15 (6P71)";;
"ak_15_1";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";"AK-15";;
"ak_15_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"ak_74m_shop";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";;
"ak_74m_0";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";"5.45x39mm Modernizirovannyj Avtomat Kalashnikova 1974, AK-74M (6P34)";;
"ak_74m_1";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";"AK-74M";;
"ak_74m_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"akm_47_shop";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";;
"akm_47_0";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";"7.62x39mm Modernizirovannyj Avtomat Kalashnikova 1947, AKM (6P1)";;
"akm_47_1";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";"AKM";;
"akm_47_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"aksu_74_shop";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";;
"aksu_74_0";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";"5.45x39mm Skladnoy Avtomat Kalashnikova 1974 Ukorochenniy, AKS-74U (6P26)";;
"aksu_74_1";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";;
"aksu_74_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"asm_val_shop";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";;
"asm_val_0";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";"9x39mm Modernizirovannyj Avtomat Special'nyj, ASM Val (6P30M)";;
"asm_val_1";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";"ASM";;
"asm_val_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"kord_6p68_shop";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";;
"kord_6p68_0";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";"7.62x39mm Avtomat Edinyj Koksharov 973, AEK-973 Kord (6P68)";;
"kord_6p68_1";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";"AEK-973";;
"kord_6p68_2";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";"Assault rifle";;
"pp_19_bizon_shop";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";;
"pp_19_bizon_0";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";"9x18mm Pistolet Pulemyot 19, PP-19 Bizon";;
"pp_19_bizon_1";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";"PP-19";;
"pp_19_bizon_2";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";;
"pp_19_vityaz_shop";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";;
"pp_19_vityaz_0";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";"9x19mm Pistolet Pulemyot 19-01, PP-19-01 Vityaz";;
"pp_19_vityaz_1";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";"PP-19-01";;
"pp_19_vityaz_2";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";;
"pp_2000_shop";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";"PP-2000";;
"pp_2000_0";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";"9x19mm Pistolet Pulemyot 2000, PP-2000";;
