"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"title/title_air_test_evaluation_department";"Air Test and Evaluation Department";"Département d'Évaluation et d'Essai Aérien";"Dipartimento Prova e Valutazione Aerea";"Abteilung Luftfahrttests und -bewertung";"Departamento de Prueba y Evaluación Aéreo";"Air Test and Evaluation Department";"Wydział prób w locie i oceny";"Air Test and Evaluation Department";"Hava Test ve Değerlendirme Bölümü";"飞\t行\t实\t验\t部";"飛行実験部";"Departamento de Teste e Avaliação do Ar";"Відділ повітряних випробувань та оцінки";"Air Test and Evaluation Department";"Légi Tesztelési És Értékelési Osztály";"공군 시험 및 평가 사령부";"Air Test and Evaluation Department";"Air Test and Evaluation Department";"飛\t行\t實\t驗\t部";"Air Test and Evaluation Department";"Phòng Kiểm tra và Đánh giá Không quân";;
"title/title_all_you_need_is_snail";"All You Need is Snail";"All You Need is l'Escargot";"All You Need is Snail";"Alles, was du brauchst, ist die Schnecke";"Todo lo Que Necesitas es Caracol";"Всё, что тебе нужно - Улитка";"Wszystko czego potrzebujesz to Ślimak";"Vše, co potřebujete, je šnek";"Tek İhtiyacın Salyangoz";"蜗\t壳\t轮\t回";"オール・ユー・ニード・イズ・スネイル";"All You Need is Snail";"Все, що тобі потрібно - Равлик";"All You Need is Snail";"All You Need is Snail";"All You Need is Snail";"Всё, что тебе нужно - Улитка";"All You Need is Snail";"蝸\t殼\t輪\t迴";"All You Need is Snail";"Sên là những gì bạn cần";;
"title/title_alpine_tiger";"Alpine Tiger";"Tigre des Alpes";"Tigre Alpina";"Alpentiger";"Tigre Alpino";"Альпийский тигр";"Tygrys alpejski";"Alpine Tiger";"Alp Kaplanı";"阿\t尔\t卑\t斯\t之\t虎";"Alpine Tiger";"Alpine Tiger";"Альпійський тигр";"Alpine Tiger";"Alpine Tiger";"알파인 타이거";"Альпийский тигр";"Alpine Tiger";"Alpine Tiger";"Alpine Tiger";"Hổ núi cao";;
"title_alpine_tiger/desc";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";"<color=#CCA43B>Awarded for:</color> ▀F/A-18C pre-order";;

"title/title_ambush_master";"Ambush Master";"Maître de l'Ambuscade";"Maestro dell'Imboscata";"Meister des Hinterhalts";"Maestro de la Emboscada";"Засадный мастер";"Mistrz Zasadzki";"Mistr léčky";"Baskın Ustası";"草\t丛\t在\t说\t话";"Ambush Master";"Mestre da Emboscada";"Майстер засідки";"Ambush Master";"Ambush Master";"매복의 달인";"Засадный мастер";"Ambush Master";"草\t叢\t在\t說\t話";"Ambush Master";"Bậc thầy phục kích";;
"title_ambush_master/desc";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XII ""Armour-Breaking Ambusher""";;
"title/title_american_tanker";"American Tanks Expert";"Expert des chars américains";"Esperto di carri Americani";"Amerikanischer Panzerexperte";"Experto en Tanques Americanos";"Знаток американских танков";"Mistrz czołgów amerykańskich";"Americký tankový expert";"Amerikan Tankları Uzmanı";"美\t国\t坦\t克\t大\t师";"American tanks expert";"Perito de Tanques Norte Americanos";"Знавець американських танків";"Ekspert Američkih tenkova";"Amerikaiharckocsi-szakértő";"미국 전차 전문가";"Знаўца амерыканскіх танкаў";"American Tanks Expert";"美\t國\t坦\t克\t大\t師";"American Tanks Expert";"Chuyên Gia Xe Tăng Mỹ";;
"title/title_ancient_rus";"Ancient Rus";"Vieille Rus'";"Rus Antico";"Antiker Rus";"Rus Ancestral";"Древний Рус";"Starożytny Rus";"Stará rus";"Antik Rus";"斯\t拉\t夫\t古\t人";"Ancient Rus";"Ancient Rus";"Давній рус";"Ancient Rus";"Ancient Rus";"고대 러시아인";"Древний Рус";"Ancient Rus";"斯\t拉\t夫\t古\t人";"Ancient Rus";"Người Nga cổ";;
"title/title_anti_government_army";"Anti-government army";"Armée antigouvernementale";"Esercito anti-governativo";"Armee der Regierungsgegner";"Ejército antigubernamental";"Anti-government army";"Armia Antyrządowa";"Anti-government army";"Hükümet Karşıtı Ordu";"反\t抗\t军";"反政府軍";"Anti-government army";"Anti-government army";"Anti-government army";"Anti-government army";"반정부군";"Anti-government army";"Anti-government army";"反\t抗\t軍";"Anti-government army";"Đội quân chống chính quyền";;
"title_anti_government_army/desc";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";"<color=#CCA43B>Awarded for:</color> Unlocking the MiG-23MLD camouflage during the Area 88 Collab";;
"title/title_anti_ship_gang_leader";"Anti-Ship Gang Leader";"Leader du gang anti-navire";"Capo della Banda Anti-nave";"Anführer der Anti-Schiffs-Bande";"Líder de la Banda Antibuque";"Anti-Ship Gang Leader";"Herszt gangu przeciwokrętowego";"Anti-Ship Gang Leader";"Gemisavar Çetesi Reisi";"対\t艦\t番\t長";"対艦番長";"Anti-Ship Gang Leader";"Лідер антикорабельної банди";"Anti-Ship Gang Leader";"Anti-Ship Gang Leader";"대함회 두목";"Anti-Ship Gang Leader";"Anti-Ship Gang Leader";"Anti-Ship Gang Leader";"Anti-Ship Gang Leader";"Thủ lĩnh băng đảng chống hạm";;
"title/title_any_time_wingman";"Any time Wingman";"Toujours aussi dangereux";"Navigatore ognitempo";"Zu jeder Zeit Flügelmann";"Compañero de Ala en Cualquier Momento";"Напарник на все времена";"Zawsze Skrzydłowy";"Any time Wingman";"Her Zaman Kanatta";"忠\t诚\t僚\t机";"Any time Wingman";"Any time Wingman";"Асистент в будь-який час";"Any time Wingman";"Any time Wingman";"영원한 윙맨";"Напарник на все времена";"Any time Wingman";"忠\t誠\t僚\t機";"Any time Wingman";"Đồng đội mọi lúc";;
"title_any_time_wingman/desc";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";"<color=#CCA43B>Awarded for:</color> F/A-18C-30 pre-order";;

"title/title_apache";"Apache";"Apache";"Apache";"Apache";"Apache";"Апач";"Apacz";"Apač";"Apaçi";"阿\t帕\t奇\t战\t士";"Apache";"Apache";"Апач";"Apache";"Apache";"아파치";"Apache";"Apache";"阿\t帕\t契";"Apache";"Apache";;
"title_apache/desc";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";"<color=#CCA43B>Awarded for:</color> ▃AH-64A pre-order";;

"title/title_apollo_chariot";"Apollo’s Chariot";"Char d'Apollon";"Carro di Apollo";"Apollos Streitwagen";"Carro de Apolo";"Колесница Аполлона";"Apollo’s Chariot";"Apollo’s Chariot";"Apollo'nun Savaş Arabası";"阿\t波\t罗\t战\t车";"Apollo’s Chariot";"Apollo’s Chariot";"Колісниця Аполлона";"Apollo’s Chariot";"Apollo’s Chariot";"아폴론의 전차";"Колесница Аполлона";"Apollo’s Chariot";"Apollo’s Chariot";"Apollo’s Chariot";"Cỗ xe của Apollo";;
"title_apollo_chariot/desc";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";"<color=#CCA43B>Awarded for:</color> Reaching level 150 during Snail Pass №XXIII ""Apollo’s Chariot""";;
"title/title_area88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"STREFA 88";"AREA 88";"AREA 88";"战\t区 88";"エリア\t88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";"AREA 88";;
"title/title_armed_to_the_teeth";"Armed to the Teeth";"Armé jusqu'aux dents";"Armato fino ai Denti";"Bewaffnet bis an die Zähne";"Armado hasta los Dientes";"Во всеоружии";"Uzbrojony po zęby";"Po zuby vyzbrojen";"Tepeden Tırnağa Silahlı";"武\t装\t到\t牙\t齿";"Armed to the Teeth";"Armado até os Dentes";"Озброєний до зубів";"Armed to the Teeth";"Állig felfegyverzett";"완전 무장";"Armed to the Teeth";"Armed to the Teeth";"武\t裝\t到\t牙\t齒";"Armed to the Teeth";"Trang bị đến tận răng";;
"title/title_armor_hard";"Armor Hard";"Blindage de Cristal";"Corazza Dura";"Hart gepanzert";"Armor Hard";"Бронированный орешек";"Twardy jak Pancerz";"Armor Hard";"Sert Zırh";"钢\t胆\t神\t威";"Armor Hard";"Armor Hard";"Броньований горішок";"Armor Hard";"Armor Hard";"아머 하드";"Бронированный орешек";"Armor Hard";"鋼\t膽\t鐵\t威";"Armor Hard";"Cứng cáp";;
"title/title_armor_of_victory";"Armor of Victory";"Armure de la Victoire";"Corazza della Vittoria";"Die Rüstung des Sieges";"Armadura de la Victoria";"Броня Победы";"Pancerz Zwycięstwa";"Armor of Victory";"Armor of Victory";"胜\t利\t战\t车";"Armor of Victory";"Armadura da Vitória";"Броня Перемоги";"Armor of Victory";"Győzelem páncélja";"승리의 전차";"Armor of Victory";"Armor of Victory";"勝\t利\t戰\t車";"Armor of Victory";"Bộ giáp chiến thắng";;
"title/title_armored_apex_2024";"Armored Apex 2024 Champion";"Champion d'Armored Apex 2024";"Campione Armored Apex 2024";"""Armored Apex 2024"" Champion";"Campeón Armored Apex 2024";"Чемпион Armored Apex 2024";"Czempion turnieju Armored Apex 2024";"Armored Apex 2024 Champion";"Armored Apex 2024 Şampiyonu";"2024 重\t装\t竞\t技\t场\t冠\t军";"Armored Apex 2024 Champion";"Armored Apex 2024 Champion";"Чемпіон «Armored Apex 2024»";"Armored Apex 2024 Champion";"Armored Apex 2024 Champion";"Armored Apex 2024 챔피언";"Чемпион Armored Apex 2024";"Armored Apex 2024 Champion";"2024 重\t裝\t競\t技\t場\t冠\t軍";"Armored Apex 2024 Champion";"Nhà vô địch Armored Apex 2024";;
"title/title_artist_of_war";"Artist of War";"Artiste de guerre";"Artista della Guerra";"Künstler des Krieges";"Artista de Guerra";"Artist of War";"Wojenny Artysta";"Artist of War";"Savaş SAnatçısı";"战\t场\t艺\t术\t家";"Artist of War";"Artista da Guerra";"Художник війни";"Artist of War";"Artist of War";"전장의 예술가";"Artist of War";"Artist of War";"戰\t場\t藝\t術\t家";"Artist of War";"Nghệ sĩ Chiến tranh";;
"title/title_aspiring_whale";"Aspiring Whale";"Baleine en herbe";"Aspirante Balena";"Aufstrebender Wal";"Ballena Aspirante";"Начинающий кит";"Wschodzący Wieloryb";"Aspiring Whale";"Hevesli Balina";"奋\t进\t巨\t鲸";"Aspiring Whale";"Aspiring Whale";"Кит-початківець";"Aspiring Whale";"Aspiring Whale";"미래의 고래";"Начинающий кит";"Aspiring Whale";"Aspiring Whale";"Aspiring Whale";"Cá voi đầy tham vọng";;
"title/title_atomic_heart";"Atomic Heart";"Atomic Heart";"Cuore Atomico";"Atomic Heart";"Atomic Heart";"Атомное сердце";"Atomic Heart";"Atomic Heart";"Atomic Heart";"原\t子\t之\t心";"アトミックハート";"Atomic Heart";"Атомне серце";"Atomsko Srce";"Atomic Heart";"아토믹 하트";"Atomic Heart";"Atomic Heart";"原\t子\t之\t心";"Atomic Heart";"Atomic Heart";;
"title/title_aye_of_the_tiger";"Aye of the Tigor";"Aye of the Tigor";"Occhio della Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Oko Tigura";"Aye of the Tigor";"Aye of the Tigor";"脑\t唬\t之\t眼";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"호랭이의 눈";"Aye of the Tigor";"Aye of the Tigor";"腦\t唬\t之\t眼";"Aye of the Tigor";"Aye of the Tigor";;
"title/title_back_in_black";"Back in Black";"Back in Black";"Back in Black";"Zurück in Schwarz";"De Vuelta en Negro";"Снова в черном";"Back in Black";"Back in Black";"Back in Black";"隐\t入\t黑\t暗";"Back in Black";"Back in Black";"Назад в чорне";"Back in Black";"Back in Black";"백 인 블랙";"Снова в черном";"Back in Black";"Back in Black";"Back in Black";"Back in Black";;
"title/title_balkan_attack_wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Ударное крыло Балкан";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Ударное крыло Балкан";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Ударное крыло Балкан";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";"Balkan Attack Wing";;
"title_balkan_attack_wing/desc";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";"<color=#CCA43B>Awarded for:</color> ▂J-22M1A pre-order";;

"title/title_baptized_by_fire";"Baptized by Fire";"Baptisé au feu";"Battezzato dal fuoco";"Feuergetauft";"Bautizado por Fuego";"Крещенный Огнем";"Ochrzczony przez ogień";"Křest ohněm";"Ateşle Sınanmış";"炮\t火\t洗\t礼";"Baptized by Fire";"Batizado pelo Fogo";"Хрещений Вогнем";"Baptized by Fire";"Tűzzel keresztelt";"불 세례";"Хрышчоны агнём";"Baptized by Fire";"炮\t火\t洗\t禮";"Baptized by Fire";"Được rửa tội bằng lửa";;
"title/title_bared_fangs";"Bared Fangs";"Montrer les crocs";"Zanne Scoperte";"Fletschende Reißzähne";"Colmillos Fuera";"Обнаженные клыки";"Bared Fangs";"Bared Fangs";"Çıplak Dişler";"锋\t芒\t毕\t露";"Bared Fangs";"Bared Fangs";"Оголені ікла";"Bared Fangs";"Bared Fangs";"숨겨둔 독니";"Обнаженные клыки";"Bared Fangs";"Bared Fangs";"Bared Fangs";"Răng nanh thô";;
"title_bared_fangs/desc";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";"<color=#CCA43B>Awarded for:</color> ZTZ-96B pre-order";;

"title/title_battering_ram";"Battering Ram";"Bélier";"Ariete";"Rammbock";"Ariete";"Пробивной";"Taran";"Beranidlo";"Koçbaşı";"攻\t城\t锤";"Battering Ram";"Aríete";"Пробивний";"Battering Ram";"Faltörő kos";"공성퇴";"Прабіўны";"Battering Ram";"攻\t城\t槌";"Battering Ram";"Đồ phá cửa";;
